method,profile,aux_var,partitioning,budget,run,theta_hat,theta_true,failures_obs,execution_time
SRS,P0,None,none,50,29,0.08,0.11165048543689318,4,0.0006303787231445312
SRS,P0,None,none,50,30,0.08,0.11165048543689318,4,0.0015246868133544922
SRS,P0,None,none,100,1,0.14,0.11165048543689318,14,0.0009295940399169922
SRS,P0,None,none,100,2,0.1,0.11165048543689318,10,0.0008847713470458984
SRS,P0,None,none,100,3,0.11,0.11165048543689318,11,0.0009150505065917969
SRS,P0,None,none,100,4,0.14,0.11165048543689318,14,0.0008473396301269531
SRS,P0,None,none,100,5,0.09,0.11165048543689318,9,0.0011243820190429688
SRS,P0,None,none,100,6,0.12,0.11165048543689318,12,0.001130819320678711
SRS,P0,None,none,100,7,0.11,0.11165048543689318,11,0.0009520053863525391
SRS,P0,None,none,100,8,0.11,0.11165048543689318,11,0.0008933544158935547
SRS,P0,None,none,100,9,0.11,0.11165048543689318,11,0.0008141994476318359
SRS,P0,None,none,100,10,0.13,0.11165048543689318,13,0.0011093616485595703
SRS,P0,None,none,100,11,0.05,0.11165048543689318,5,0.0008363723754882812
SRS,P0,None,none,100,12,0.08,0.11165048543689318,8,0.0008757114410400391
SRS,P0,None,none,100,13,0.13,0.11165048543689318,13,0.0008304119110107422
SRS,P0,None,none,100,14,0.11,0.11165048543689318,11,0.000942230224609375
SRS,P0,None,none,100,15,0.1,0.11165048543689318,10,0.000896453857421875
SRS,P0,None,none,100,16,0.1,0.11165048543689318,10,0.0009577274322509766
SRS,P0,None,none,100,17,0.12,0.11165048543689318,12,0.0012509822845458984
SRS,P0,None,none,100,18,0.11,0.11165048543689318,11,0.001016855239868164
SRS,P0,None,none,100,19,0.15,0.11165048543689318,15,0.0010743141174316406
SRS,P0,None,none,100,20,0.07,0.11165048543689318,7,0.000988006591796875
SRS,P0,None,none,100,21,0.13,0.11165048543689318,13,0.0008087158203125
SRS,P0,None,none,100,22,0.08,0.11165048543689318,8,0.0010232925415039062
SRS,P0,None,none,100,23,0.1,0.11165048543689318,10,0.0009412765502929688
SRS,P0,None,none,100,24,0.11,0.11165048543689318,11,0.0008792877197265625
SRS,P0,None,none,100,25,0.09,0.11165048543689318,9,0.0008897781372070312
SRS,P0,None,none,100,26,0.1,0.11165048543689318,10,0.0008685588836669922
SRS,P0,None,none,100,27,0.07,0.11165048543689318,7,0.0008502006530761719
SRS,P0,None,none,100,28,0.11,0.11165048543689318,11,0.0007579326629638672
SRS,P0,None,none,100,29,0.07,0.11165048543689318,7,0.0011761188507080078
SRS,P0,None,none,100,30,0.13,0.11165048543689318,13,0.0010974407196044922
SRS,P0,None,none,200,1,0.09,0.11165048543689318,18,0.000759124755859375
SRS,P0,None,none,200,2,0.07,0.11165048543689318,14,0.0006494522094726562
SRS,P0,None,none,200,3,0.105,0.11165048543689318,21,0.0008003711700439453
SRS,P0,None,none,200,4,0.125,0.11165048543689318,25,0.0009055137634277344
SRS,P0,None,none,200,5,0.105,0.11165048543689318,21,0.0009009838104248047
