frame,track_id,class,conf,x1,y1,x2,y2
13,2,car,0.4919528663158417,379,161,396,173
14,2,car,0.38089343905448914,381,161,396,173
15,2,car,0.30419060587882996,381,160,398,173
16,2,car,0.5064128637313843,380,158,401,174
17,2,truck,0.27092623710632324,380,156,403,174
18,2,car,0.39802777767181396,382,157,403,174
19,2,car,0.4575987160205841,384,158,403,174
20,2,car,0.3441218137741089,385,159,404,175
21,2,car,0.3169218897819519,385,157,407,175
22,2,car,0.4198175072669983,387,158,407,175
23,2,car,0.48947107791900635,388,160,408,176
24,2,car,0.5371094346046448,389,160,409,176
25,2,car,0.6600461006164551,390,160,410,176
26,2,car,0.5661696195602417,391,161,411,176
27,2,car,0.5964462161064148,392,160,412,177
28,2,car,0.6888456344604492,393,160,414,177
29,2,car,0.6597877740859985,393,160,415,177
30,2,car,0.7791709303855896,394,160,417,178
31,2,car,0.8009219765663147,395,160,419,178
32,2,car,0.7709087133407593,396,160,420,179
33,2,car,0.7912066578865051,397,160,422,179
34,2,car,0.8045857548713684,399,161,424,180
35,2,car,0.812102735042572,400,161,426,180
36,2,car,0.7981434464454651,401,161,428,181
37,2,car,0.7442869544029236,402,161,430,181
38,2,car,0.6483524441719055,405,161,433,182
39,2,car,0.657537579536438,406,161,435,182
40,2,car,0.7707324028015137,407,160,438,183
41,2,car,0.735453724861145,408,160,440,183
42,2,car,0.7688374519348145,411,160,444,184
43,2,car,0.7083662748336792,413,161,447,185
44,2,car,0.8418490290641785,415,161,451,186
45,2,car,0.8352823853492737,416,161,454,187
46,2,car,0.8267236948013306,419,161,458,188
47,2,car,0.8727664947509766,421,161,462,189
48,2,car,0.8790429830551147,424,161,467,190
49,2,car,0.8586082458496094,427,161,472,192
50,2,car,0.8512783050537109,430,161,478,193
51,2,car,0.8847497701644897,434,161,485,195
52,2,car,0.8221344947814941,437,161,491,197
53,2,car,0.7851207256317139,441,161,498,198
54,2,car,0.8150883316993713,445,161,506,200
55,2,car,0.8477500677108765,450,161,514,203
56,2,car,0.8209244012832642,455,161,524,206
57,2,car,0.7414700388908386,461,161,535,209
58,2,car,0.8639040589332581,467,161,546,211
59,2,car,0.7652787566184998,474,161,561,217
60,2,car,0.8983194828033447,483,161,575,218
61,2,car,0.8488060832023621,495,160,589,219
62,2,car,0.7989457845687866,508,160,605,219
63,2,car,0.6688162684440613,522,160,622,218
64,2,truck,0.7041050791740417,533,161,632,217
65,2,car,0.2742902338504791,542,161,640,218
179,82,car,0.47100868821144104,270,160,288,168
182,86,car,0.6229116916656494,247,159,275,169
183,86,car,0.5948022603988647,240,159,268,169
195,108,car,0.7049686312675476,506,166,546,181
